歌手名字,薛之谦
4875060,如果.爱 - (《如果 爱》主题曲)
110805,你的名字 我的姓氏
5251908,月半弯
5285096,地球大合唱
190443,留住这时光 (Full Version)
190372,分手总要在雨天
187911,约定 - live
187966,情人 - live
189212,想和你去吹吹风
187944,爱很简单 - live
187908,听海 - live
187947,爱我别走 - live
歌手名字,张紫豪
553755659,可不可以
1306498212,可不可以 (伴奏)
1300902916,体温
1317201260,可不可以（男女双声道）（Cover：张紫豪）
862777791,纸短情长（Cover：烟把儿）
歌手名字,赵雷
436514312,成都
202373,南方姑娘
29567189,理想
202369,画
29567193,我们的时光
29567192,少年锦时
447925059,阿刁 - (Diao)
447926067,鼓楼 - (The Drum Tower)
29567191,三十岁的女人
437608773,无法长大
447925066,八十年代的歌 - (Song Of The 80s)
530995556,十九岁 - (At The Age of Nineteen)
1295824647,彩虹下面 - (电影《西虹市首富》推广曲)
447925058,玛丽 - (Mary)
33166602,让我偷偷看你
29567187,吉姆餐厅
447926063,朵 - (Dorr)
517567264,静下来
29567188,家乡
28111471,已是两条路上的人
202368,未给姐姐递出的信
29567185,北京的冬天
447925063,孤独 - (Left Alone)
29567194,小屋
34852810,再也不会去丽江
447925067,再见北京 - (Goodbye! Beijing!)
29567190,梦中的哈德森
202377,妈妈
202367,人家
202376,背影
447926068,窑上路 - (Yao-shang Road)
202370,不开的唇
29567186,浮游
202375,开往北京的火车
202371,赵小雷
433018044,爱人你在哪里
433018045,往事只能回味
29810320,未给姐姐递出的信 
433018041,民谣
202374,Over
433018046,逆流而上
432792901,凭什么说爱你
432792905,夏天
31460216,米店
433018047,飞来飞去
553546118,朵儿 (Live版)
432792904,何必
432792903,塔吉汗
460628183,月亮粑粑 (Live)
歌手名字,李佳隆
1296583188,星球坠落 (Live)
464976941,星球杯
864489248,给妈妈的歌
1293904991,月儿圆
1298898548,特别
1320100116,嗨咯喂
1306497504,坠落
1311345343,特别 (live)
1294889228,月儿圆 (Live)
1305111035,中国新说唱EP07 RAP07 (Live)
1313082595,听懂没
525413104,加利福利亚的梦
557158202,别
550119706,错不在我
525824280,NoMo
550121607,索尼克ソニック
551763604,Trend It
519002337,Wait
550123408,Stay Right Here Pt.2
1304803527,ICED OUT(prod. Guala Beatz)
1305776662,Space Fleet
1312894164,Good Trip [Keep On Movin'] Prod.S.O
1300104493,星球坠落
歌手名字,沈以诚
514761281,白羊
479598964,椿
419374177,带我走（Live）
1318156992,道理的道理
412319591,狂恋你（Cover：Every Little Thing）
571338448,不打扰
419374174,恶作剧（Live）
29414160,越来越不懂
423104061,天蝎（Cover：Every Little Thing）
561438803,Blue Dress
425065716,好想你
407032014,菲菲
1321827584,只对你有感觉（Cover：飞轮海）
440767269,预言家
413831989,水瓶
539820204,里面 - (Inside)
412493467,宝贝（Cover：张悬）
432464446,Love Love Love(Live)
423104063,关于我爱你
515426297,好奇
407004034,氤氲
522260945,日子全都喂给了猫
412493469,理想三旬（Live）
434022943,立方客
408943029,喜欢（Guitar Ver.）
444075076,别看我只是一只羊
515432783,Gorgeous(Guitar Ver.)（Cover Taylor Swift）
536320853,Love Yourself（Cover Justin Bieber）
406752375,爱冬野的少年
1315053649,Chaperone（Cover Hurts）
412319592,迷津
412493468,狂恋你 (Live)
427609084,今天只做一件事+儿歌(Live）
468047756,双子座（Guitar Ver.)（Cover 彭青）
1316655952,Shape Of You（Cover Ed Sheeran）
536442360,夜盲症（Cover 蔡健雅）
504042391,陷于灰色幻象
508694329,菲菲(Live)
423058142,讨厌(Live)
407004033,讨厌
444356507,双木
427606723,Raindrops Keep Fallin' On My Head
425724056,仍然
468049384,相思赋予谁(Guitar Ver.)（Cover 好妹妹）
544451448,Let Me Love You（Cover Justin Bieber）
407004032,负面文字
456167520,突然来的新年
534565790,椿（Piano Version.）
421137079,食草动物
407004031,Intro:乌云
歌手名字,王北车
1294899063,陷阱
1294889064,陷阱 (伴奏)
1316824131,突然想起你
1316330165,路人甲
1318571147,没有如果
1316824132,突然想起你 (伴奏)
1320122137,好像从前
1316330166,路人甲 (伴奏)
1309901503,路人甲(伴奏)
1318571148,没有如果(伴奏)
1320122138,好像从前 (伴奏)
歌手名字,满舒克
26524701,My Heart Will Go On
519913462,做我的猫
28784206,DAY LOVE NIGHT
473181848,reset-轮回者（满舒克 / FatKan remix）
436667978,慢慢来
1306498127,2018 MDSK CYPHER
1300594121,追梦 (Live)
451536756,轮回者
528270313,FALL IN LOVE
470610329,不必说再见
459815982,不想错过你
28784280,那些年我们一起追过的女孩
41657467,每一天
26577192,天亮前出发
1305364933,Please Everybody
29129900,燃烧
535542233,陪 你 过 冬 天 [Remix. Xein.X](feat. Heathen.CT)
26550644,你进我退
562597376,燃
408943628,You Don't Even Know
534541257,Logo
492144600,Real Life
472639932,Don't Go
25730240,那年我们一起追过的女孩feat.MC何山+孔艺萌 beat prod.by 7JZ
1302084266,浪得冒泡
1294910218,Keep My Mind (Live)
470607987,Never Lonely
29829353,Can't take my eyes off you
444269464,Always On The Road
1296548178,Yellow Soul (Live)
461547333,2PHONE
454992953,2phones(Remix)
32785382,怎么还没睡
29829361,Winter Song (Syrup Remix)
447079183,Always on the Road
29829360,Truth
1294910220,中国新说唱EP02-RAP02 (Live)
26550643,凌晨的房间
26550640,保质期
28234982,翱翔
27853054,Pinup Lady
26550627,Feel It Now
470608760,Stay Alone Together
29129901,深度失眠
29775054,Kill It
399410096,CoolTrip
529823758,唯一
560340441,陪你过夏天
32719136,ATM
29775061,夸张
歌手名字,徐梦圆
41500546,China-X
534540498,藏
34380473,color-X 3D
454129387,PDD
405987145,China-P
534540013,乐游记
34779103,color-X
465593781,胭脂妆
536624791,玻璃糖
1316562742,Diplo & MØ - Stay Open (徐梦圆 Remix)
1304920086,China-E
423104116,China-PiPa
436675327,China-Rain
466327445,China-O
427017128,Water
409650440,China-A
555557845,China-C
457840567,The Chinese zither
442899497,在你身边（Feat.徐梦圆）
35032211,China
418257482,大鱼(徐梦圆Remix)
34779102,summer
862099538,第五人格
493041272,China-U
34779260,中二也要弹钢琴
496871005,张大仙你是妖怪吧
409654860,China-Y
34380477,upside-down 3D
419375942,China-Dance
503206672,Piercing Light (徐梦圆 Remix)
406000489,Whatever
41642380,Say Hi
34779255,时雨
407761545,China-M
424496657,Slip
865674005,雨
34380471,3D RUN
440353277,一个人的歌(Feat.徐梦圆)
542541179,China-X/锦里/南锣鼓巷(旌影mashup)
459115868,醉（Feat.徐梦圆）
454966416,China-Dragon
34780516,JUMP
411988718,China-Future
415085467,愿世界对你温柔相待
417594827,China-Life
1308778092,棠梨煎雪 (Remix)
483378714,Candy Girl
439625573,China-Change
418279656,China-Happy
544000394,焰火
歌手名字,张国荣
186436,玻璃之情
186453,春夏秋冬
26620756,当爱已成往事 - (电影《霸王别姬》主题曲)
188204,沉默是金
188175,倩女幽魂 - (电影《倩女幽魂》主题曲)
188451,当年情(Live)
186490,心跳呼吸正常
187374,我
188222,别话
29343374,怪你过份美丽
188489,风继续吹(Live)
187786,最冷一天
29343372,有心人
186707,想你
187564,左右手
188591,似水流年
186760,风再起时
186699,共同渡过
187408,愿你决定
29343376,这些年来
186843,月亮代表我的心
186488,洁身自爱
5285096,地球大合唱
187402,午后红茶
187076,Monica(Live) - live
186899,蝶变
26620821,追 - (电影《金枝玉叶》插曲)
186689,无心睡眠
186820,路过蜻蜓
36861903,芳华绝代
26075355,至少还有你 (00 Live)(live版) - live
187600,全世界只想你来爱我
186852,春光乍泄
186623,奔向未来日子 - (电影《英雄本色Ⅱ》主题曲)
186626,胭脂扣 - (电影《胭脂扣》主题曲)
26075328,寂寞夜晚
187527,你这样恨我
26620787,今生今世 - (电影《金枝玉叶》插曲)
187382,侯斯顿之恋
188807,明月夜
187387,身边有人
186693,拒绝再玩
29343361,暴风一族
34341388,千千阙歌 - Live - (张国荣告别歌坛演唱会)
187943,红
188575,明星
5284499,永远的朋友
186459,十号风球
187680,取暖
32707750,谈恋爱 - (电影《金枝玉叶》插曲)
歌手名字,马良
557584888,往后余生
571338083,醒着醉
554118097,往后余生原创(demo)
1311345294,回首仍是少年
1300595131,北岸
572035587,往后余生伴奏
547099268,红山小记
歌手名字,胡彦斌
529668356,你要的全拿走 - (Take Everything You Want)
28191532,为你我受冷风吹
4873065,月光 - (动画《秦时明月》主题曲)
530986052,返老还童
93213,红颜 - (电视剧《荆轲刺秦》片尾主题曲)
420513275,还魂门  - (电视剧《老九门》主题曲)
69973,北京祝福你
4874264,诀别诗 - (《少年杨家将》插曲)
25639331,在一起
29818420,有过你
31877395,味道 (Live)
93053,男人KTV
31877078,山丘 (Live)
93190,愿望
31877469,你的背包 (Live)
532711456,Yes I Do
93188,蝴蝶
28191529,当爱已成往事
409941438,鸽子 - (原唱 : 宋冬野)
31877132,一言难尽 (Live)
93063,潇湘雨
28191533,没那么简单
92824,伤痕
27514900,江湖再见 - (电视剧《龙门镖局》片尾曲)
473940676,天谕 - (动画《天谕》主题曲)
4877777,我的舞台
93069,决别诗
92877,笔墨登场
4877778,有梦好甜蜜(独唱版) - (《我为歌狂》插曲)
27514901,我以为 - (《龙门镖局》插曲)
92956,婚礼进行曲
25639304,爱情是怎么了
509311719,高手
28481028,姑娘
28191531,空位
28191534,天黑黑
508297628,Give me a chance
307231,进行式
93274,包袱
93175,皇帝
31877158,耶利亚女郎 (Live)
569870987,快意江湖
532711452,覅忒好
93211,我的未来不是梦
399353376,有个爱你的人不容易(Live)
93192,葬英雄
28191535,追月
31877485,眼色 (Live)
4877785,无所不能
93243,目不转睛
歌手名字,汪苏泷
165379,小星星
165340,有点甜
1320100071,为你写诗 - (电影《为你写诗》同名曲)
426852063,一笑倾城 - (电视剧《微微一笑很倾城》片头曲)
165361,不分手的恋爱
553310138,忽而今夏 - (电视剧《忽而今夏》主题曲)
1306507727,全世界陪我失眠
174944,后会无期
482386133,那个男孩 - (电视剧《夏至未至》插曲)
165364,苦笑
1313052971,岁月神偷
165375,专属味道
1297742771,追光者
165370,某人
165367,三国杀
165339,万有引力
569214141,小流星 - (超级剧集《同学两亿岁》片尾曲)
165405,巴赫旧约
